"SPACK","Ticker","Merger","Up-Front UW fee","Deferred UW fee","Number of underwriters","CEO's age","IPO Proceeds, $M","IPO Sector","IPO Geography","BCMA","Team","Age of the team"
"System1  Inc. Class A","SST","1","2","3.5","3","68","517.5","Financial","Global","0","6","55.33333333"
"Fast Radius  Inc. - Class A","FSRD","1","1.75","2.75","4","55","100","Technology","Global","0","7","56.28571429"
"Anghami Inc.","ANGH","1","2","3.5","5","47","345","Energy","US/Canada","0","6","56.66666667"
"Leafly Holdings  Inc.","LFLY","1","2","3.5","2","45","130.02","Cannabis","Global","0","4","43.5"
"SES AI Corporation Class A","SES","1","2","3.5","1","70","276","Energy","Global","0","6","52.5"
"GreenLight Biosciences Holdings  PBC","GRNA","1","0.05","3.76","2","48","207","General","Global","0","7","51.57142857"
"Satellogic Inc. - Class A","SATL","1","2","3.5","1","59","250","General","Global","1","9","48.11111111"
"Sonder Holdings Inc. - Class A","SOND","1","2","3.5","2","67","450","Consumer","Global","0","6","61.33333333"
"Revelation Biosciences  Inc.","GLS","1","2","3.5","3","70","276","General","Global","0","8","48.5"
"Dave Inc.  - Class A","REVB","1","2","4","4","74","72.78","Healthcare","Global","1","6","62.33333333"
"Gelesis Holdings  Inc.","DAVE","1","2","3.5","2","42","253.77","Financial","US/Canada","0","9","53.55555556"
"Virgin Orbit Holdings  Inc.","VORB","1","2","3.5","2","59","382.59","General","Global","0","2","37.5"
"Heliogen  Inc.","HLGN","1","2","3.5","3","58","250","Technology","Global","0","7","57.28571429"
"CompoSecure  Inc.  - Class A","CMPO","1","2","3.5","1","53","231.56","Technology","Global","0","6","55"
"AdTheorent Holding Company  Inc.","ADSE","1","2","3.5","2","52","143.75","Energy","Europe","1","4","61.5"
"Pardes Biosciences  Inc.","ADTH","1","2","3.5","1","","316.25","Technology","Global","0","",""
"Fathom Digital Manufacturing Corporation Class A","FATH","1","2","3.5","2","46","345","General","Global","0","9","46"
"ADS-TEC Energy PLC","PRDS","1","2","3.5","1","57","201.25","Healthcare","Global","0","",""
"Hyperfine  Inc.  - Class A","HYPR","1","2","3.5","1","59","207","Healthcare","Global","0","6","61.33333333"
"EQRx  Inc.","EQRX","1","2","3.5","3","41","276","Technology","Global","0","",""
"Cvent Holding Corp.","CVT","1","2","3.5","2","47","552","Healthcare","Global","0","7","56.28571429"
"Bowlero Corp. Class A","BOWL","1","2","3.5","2","55","254.84","Media & Entertainment","Global","0","7","52.42857143"
"Altus Power  Inc. Class A","AMPS","1","2","3.5","1","65","402.5","Real Estate","Global","0","7","59.71428571"
"Solid Power  Inc. - Class A","BOXD","1","1","3.5","5","63","258.75","General","Global","1","8","52.875"
"Boxed  Inc.","SLDP","1","2","3.5","2","62","350","General","Global","0","5","58.8"
"BigBear.ai  Inc.","BBAI","1","2","3.5","2","","358.8","Technology","Global","0","5","44.6"
"Vacasa  Inc. - Class A","VCSA","1","2","3.5","5","","285","General","Global","0","7","64.57142857"
"P3 Health Partners Inc. - Class A","BZFD","1","2","3.5","2","47","287.5","Technology","Global","1","8","51.875"
